scenario,question,A,B,C,D,answer
"Sixty percent of the customers at a bakery buy one loaf of bread, 10 percent buy two, and the remaining 30% don't buy any bread at all.  Let \(P_n\) represent the probability that the bakery has sold an even number of loaves to the first n customers. ",The value of \(P_1\) is . . .,0.6,0.4,0.1,0.5,0.4
"Sixty percent of the customers at a bakery buy one loaf of bread, 10 percent buy two, and the remaining 30% don't buy any bread at all.  Let \(P_n\) represent the probability that the bakery has sold an even number of loaves to the first n customers. ",The value of \(P_{13}\) is . . .,\(P_3*P_{10}\),\(P_7*P_6\),\((1-P_3)*(1-P_{10})\),All of the above,All of the above
"Sixty percent of the customers at a bakery buy one loaf of bread, 10 percent buy two, and the remaining 30% don't buy any bread at all.  Let \(P_n\) represent the probability that the bakery has sold an even number of loaves to the first n customers. ","After several thousand customers, the probability the bakery has sold an even number of loaves would be very close to . . .",0.6,0.4,0.1,0.5,0.5
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If the frisbee starts with Alexis, then the probability she has it again after three tosses is given by","the (3,1) element of P","the (1,3) element of P","the (1,1) element of P^3","the (3,1) element of P^3","the (1,1) element of P^3"
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If they play catch all day, what value of p would make it so Alexis has the frisbee for \(\1/3\) of the catches? (solve using theory \(\tilde{n}\) or use the slider to the left) (programming note \(\tilde{n}\) slider is for value of p and shows ",\(0.5\),\(2/3\),\(3/4\),\(1\),\(0.5\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If the frisbee starts with Alexis, then the probability she has it again after three tosses is given by","the (3,1) element of P","the (1,3) element of P","the (1,1) element of P^3","the (3,1) element of P^3","the (1,1) element of P^3"
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If they play catch all day, what value of p would make it so Alexis has the frisbee for \(\2/5\) of the catches? (solve using theory \(\tilde{n}\) or use the slider to the left) (programming note \(\tilde{n}\) slider is for value of p and shows ",\(0.5\),\(2/3\),\(3/4\),\(1\),\(2/3\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If the frisbee starts with Alexis, then the probability she has it again after three tosses is given by","the (3,1) element of P","the (1,3) element of P","the (1,1) element of P^3","the (3,1) element of P^3","the (1,1) element of P^3"
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If they play catch all day, what value of p would make it so Alexis has the frisbee for \(\3/7\) of the catches? (solve using theory \(\tilde{n}\) or use the slider to the left) (programming note \(\tilde{n}\) slider is for value of p and shows ",\(0.5\),\(2/3\),\(3/4\),\(1\),\(3/4\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","In this case the transition probability matrix for the states denoted A, J, and L respectively is given by:",\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\),\(\begin{bmatrix}1 & 0.5 & 0.5 \\p & 1 & 1-p \\  p & 1-p & 1 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\0.5 & 0 & 0.5 \\  0.5 & 0.5 & 0 \end{bmatrix}\),\(\begin{bmatrix}p & 0.5 & 0.5 \\p & 0.5 & 0.5 \\  p & 0.5 & 0.5 \end{bmatrix}\),\(\begin{bmatrix}0 & 0.5 & 0.5 \\p & 0 & 1-p \\  p & 1-p & 0 \end{bmatrix}\)
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If the frisbee starts with Alexis, then the probability she has it again after three tosses is given by","the (3,1) element of P","the (1,3) element of P","the (1,1) element of P^3","the (3,1) element of P^3","the (1,1) element of P^3"
"Alexis, James, and Liang are playing catch with a frisbee.  When Alexis has the frisbee she throws it to James or Liang each half the time.  When either James or Liang have the frisbee, they throw it to Alexis a proportion p of the time (0 < p < 1).","If they play catch all day, what value of p would make it so Alexis has the frisbee for \(1/2\) of the catches? (solve using theory \(\tilde{n}\) or use the slider to the left) (programming note \(\tilde{n}\) slider is for value of p and shows ",\(0.5\),\(2/3\),\(3/4\),\(1\),\(1\)
"Mycoplasma gallisepticum is a type of bacteria that causes a respiratory disease in both domestic birds like chickens and also wild birds like house finches.  Birds can be either susceptible (S), infected (I) with the disease or may die from the disease or another cause (D).  House finches around Ithaca New York were studied once a week by ornithologists from Cornell University and the following transition probability matrix was found to apply to the three states S, I, and D: \(\begin{bmatrix}0.9 & 0.05 & 0.05\\0.1 & 0.7 & 0.2 \\ 0 & 0 & 1\end{bmatrix}\)","In this population, what is the probability that a susceptible bird would be infected the following week",0.03,0.2,0,1,0.03
"Mycoplasma gallisepticum is a type of bacteria that causes a respiratory disease in both domestic birds like chickens and also wild birds like house finches.  Birds can be either susceptible (S), infected (I) with the disease or may die from the disease or another cause (D).  House finches around Ithaca New York were studied once a week by ornithologists from Cornell University and the following transition probability matrix was found to apply to the three states S, I, and D: \(\begin{bmatrix}0.9 & 0.05 & 0.05\\0.1 & 0.7 & 0.2 \\ 0 & 0 & 1\end{bmatrix}\)",For this Markov Chain,"the S, I, and D states are all recurrent",the S and D states are transient and the I state is recurrent,the I and D states are recurrent and the S state is absorbing,the S and I states are transient and the D state is absorbing,the S and I states are transient and the D state is absorbing
"Mycoplasma gallisepticum is a type of bacteria that causes a respiratory disease in both domestic birds like chickens and also wild birds like house finches.  Birds can be either susceptible (S), infected (I) with the disease or may die from the disease or another cause (D).  House finches around Ithaca New York were studied once a week by ornithologists from Cornell University and the following transition probability matrix was found to apply to the three states S, I, and D: \(\begin{bmatrix}0.9 & 0.05 & 0.05\\0.1 & 0.7 & 0.2 \\ 0 & 0 & 1\end{bmatrix}\)",The expected number of weeks until a susceptible bird dies would be,14 weeks,10 weeks,7 weeks,1 week,14 weeks
"An academic club for statistics majors operates a website that contains an announcements section (A), a blog (B), and a resources section (R).  During a session on the site, a visitor can click on links to move between sections or leave (L) the site entirely following the transition matrix? : \(\begin{bmatrix}0.5 & 0.1 & 0.2 & 0.2\\0.2 & 0.5 & 0.1 & 0.2\\ 0.1 & 0.2 & 0.5 & 0.2\\ 0 & 0 & 0 & 1\end{bmatrix}\)","If a visitor enters the site in the Announcements section, then the chance that they will be in the Announcements section after clicking on two links is",\(0.5\),\(0.5^2 = 0.25\),\(0.5^2+0.1(0.2)+0.2(0.1) = 0.29\),\(0.5+0.2+0.1 = 0.8\),\(0.5^2+0.1(0.2)+0.2(0.1) = 0.29\)
"An academic club for statistics majors operates a website that contains an announcements section (A), a blog (B), and a resources section (R).  During a session on the site, a visitor can click on links to move between sections or leave (L) the site entirely following the transition matrix? : \(\begin{bmatrix}0.5 & 0.1 & 0.2 & 0.2\\0.2 & 0.5 & 0.1 & 0.2\\ 0.1 & 0.2 & 0.5 & 0.2\\ 0 & 0 & 0 & 1\end{bmatrix}\)",The expected number of links a visitor clicks on before they leave the site is,\(5\),\(3\),\(1/5\),\(5/16\),\(5\)
"An academic club for statistics majors operates a website that contains an announcements section (A), a blog (B), and a resources section (R).  During a session on the site, a visitor can click on links to move between sections or leave (L) the site entirely following the transition matrix? : \(\begin{bmatrix}0.5 & 0.1 & 0.2 & 0.2\\0.2 & 0.5 & 0.1 & 0.2\\ 0.1 & 0.2 & 0.5 & 0.2\\ 0 & 0 & 0 & 1\end{bmatrix}\)","After a visitor stays on the site for a very long time, the most likely part of the website they are at would be",the announcements section,the blog,the resources section,all three sections would have about the same probability,all three sections would have about the same probability
"According to the American Red Cross, 57% of Hispanic Americans, 40% of Asian Americans, 52% of African Americans, 90% of Indigenous Americans, 45% of non-Hispanic Caucasian Americans, and 50% of other Americans have type O Blood. Also, the Census Bureau reports that of all citizens 18% are Hispanic Americans, 6% are Asian Americans, 13% are African Americans, 2% are Indigenous Americans, and 60% are non-Hispanic Caucasian Americans.",What＊s the probability that a randomly selected American has type O blood,\(56%\),\(49%\),\(45%\),\(40%\),\(49%\)
"According to the American Red Cross, 57% of Hispanic Americans, 40% of Asian Americans, 52% of African Americans, 90% of Indigenous Americans, 45% of non-Hispanic Caucasian Americans, and 50% of other Americans have type O Blood. Also, the Census Bureau reports that of all citizens 18% are Hispanic Americans, 6% are Asian Americans, 13% are African Americans, 2% are Indigenous Americans, and 61% are non-Hispanic Caucasian Americans.",What is the probability that a randomly selected American with type O blood is an Hispanic American?,\(0.18*0.57/0.49\),\(0.06*0.40/0.49\),\(0.13*0.52/0.49\),\(0.02*0.90/0.49\),\(0.18*0.57/0.49\)
"According to the American Red Cross, 57% of Hispanic Americans, 40% of Asian Americans, 52% of African Americans, 90% of Indigenous Americans, 45% of non-Hispanic Caucasian Americans, and 50% of other Americans have type O Blood. Also, the Census Bureau reports that of all citizens 18% are Hispanic Americans, 6% are Asian Americans, 13% are African Americans, 2% are Indigenous Americans, and 62% are non-Hispanic Caucasian Americans.",What is the probability that more than 10 Americans must be sampled before finding one that is an African American with type O blood?,\(1 每 11*0.52*0.13\),\(11*0.52*0.13\),\((0.13*0.52)^(10)\),\((1 每 (0.13*0.52))^(10)\),\((1 每 (0.13*0.52))^(10)\)
"According to the American Red Cross, 57% of Hispanic Americans, 40% of Asian Americans, 52% of African Americans, 90% of Indigenous Americans, 45% of non-Hispanic Caucasian Americans, and 50% of other Americans have type O Blood. Also, the Census Bureau reports that of all citizens 18% are Hispanic Americans, 6% are Asian Americans, 13% are African Americans, 2% are Indigenous Americans, and 60% are non-Hispanic Caucasian Americans.",What＊s the probability that a randomly selected American has type O blood,\(56%\),\(49%\),\(45%\),\(40%\),\(49%\)
"According to the American Red Cross, 57% of Hispanic Americans, 40% of Asian Americans, 52% of African Americans, 90% of Indigenous Americans, 45% of non-Hispanic Caucasian Americans, and 50% of other Americans have type O Blood. Also, the Census Bureau reports that of all citizens 18% are Hispanic Americans, 6% are Asian Americans, 13% are African Americans, 2% are Indigenous Americans, and 62% are non-Hispanic Caucasian Americans.",What is the probability that more than 10 Americans must be sampled before finding one that is an African American with type O blood?,\(1 每 11*0.52*0.13\),\(11*0.52*0.13\),\((0.13*0.52)^(10)\),\((1 每 (0.13*0.52))^(10)\),\((1 每 (0.13*0.52))^(10)\)
"According to the American Red Cross, 57% of Hispanic Americans, 40% of Asian Americans, 52% of African Americans, 90% of Indigenous Americans, 45% of non-Hispanic Caucasian Americans, and 50% of other Americans have type O Blood. Also, the Census Bureau reports that of all citizens 18% are Hispanic Americans, 6% are Asian Americans, 13% are African Americans, 2% are Indigenous Americans, and 62% are non-Hispanic Caucasian Americans.",How many Americans would you expect to sample until you find 8 that are Indigenous Americans with type O blood?,\(8/0.90\),\((8/0.02)^(0.9)\),\(8/0.018\),\((1/0.018)^8\),\(8/0.018\)
